premise,choice1,choice2,label,loss_choice1,loss_choice2,pred
La donna decise di candidarsi per una carica pubblica.,Assunse un responsabile della campagna elettorale.,Testimoniò in tribunale.,0,3.6591386795043945,4.20928955078125,0.0
L'uomo aveva previsto temperature basse durante il suo viaggio.,Aveva messo in valigia indumenti caldi.,Stava viaggiando con una grande valigia.,0,3.806338310241699,4.035369396209717,0.0
Lo studente conosceva la risposta alla domanda.,Alzò la mano.,Oziò.,0,4.157693862915039,4.767340660095215,0.0
Gli occhi dell'uomo si riempirono di lacrime.,Gli era entrata della polvere negli occhi.,Aveva indossato degli occhialini.,0,3.601487159729004,3.413454294204712,1.0
La giocatrice vinse cinque partite di fila.,La sua avversaria l'accusò di imbrogliare.,La sua avversaria si dispiacque per lei.,0,3.581033229827881,4.05942964553833,0.0
L'insegnante strappò l'esame dello studente.,Beccò lo studente mentre copiava.,Le risposte dello studente erano sbagliate.,0,4.052211284637451,3.6476409435272217,1.0
Feci una pausa per smettere di parlare.,Persi la voce.,Rimasi senza fiato.,1,4.572175979614258,4.228516101837158,1.0
Il cibo ghiacciato si scongelò.,Lo misi nel microonde.,Lo coprii con la pellicola trasparente.,0,4.329516887664795,3.9564597606658936,1.0
L'impiegato finse di stare poco bene.,Aveva crampi allo stomaco.,Voleva un giorno libero.,1,4.06374454498291,4.187918663024902,0.0
La ragazza atterrò in piscina.,Corse sul bordo della piscina.,Saltò dal trampolino.,1,4.0274786949157715,4.1660566329956055,0.0
I biglietti del film fecero il tutto esaurito.,Era il lancio del film.,Il film aveva ricevuto brutte recensioni.,0,4.410634994506836,3.9005684852600098,1.0
L'uomo aveva perso peso.,Le persone lo isolarono.,Le persone si complimentarono con lui.,1,4.743415832519531,4.260663986206055,1.0
Sulle mani della ragazza comparvero delle vesciche.,Aveva scritto a macchina una lettera.,Si era arrampicata su una corda.,1,3.968482732772827,4.0977983474731445,0.0
L'artista del circo faceva il giocoliere mentre guidava un monociclo.,Il pubblico lo acclamò sbalordito.,L'acrobata dondolò da un trapezio.,0,3.789430856704712,3.6828770637512207,1.0
Ho perso la pazienza.,Il mio amico mi aveva fatto aspettare.,Il mio amico arrivò in tempo.,0,4.309452533721924,4.525036811828613,0.0
I paesi in guerra volevano la pace.,Svilupparono armi nucleari.,Negoziarono un trattato.,1,4.345719814300537,4.354922771453857,0.0
L'uomo prese delle pillole per dormire.,Divenne sonnolento.,Gli venne la febbre.,0,4.000489711761475,4.040474891662598,0.0
La donna urtò il divano.,La gamba del divano si allentò.,Si fece un livido sul ginocchio.,1,4.395143508911133,4.33394718170166,1.0
Il ragazzo spremette il palloncino.,Il palloncino scoppiò.,Il palloncino volò via.,0,3.6673314571380615,3.8177452087402344,0.0
I viaggiatori si registrarono nella loro stanza d'albergo.,Svuotarono le valige.,Andarono all'aeroporto.,0,3.969520092010498,3.8852968215942383,1.0
Avevo dato un morso alla pesca.,La pesca si ammaccò.,Il succo schizzò fuori.,1,4.296440124511719,4.485490322113037,0.0
Le mie mani diventarono appiccicose.,Avevo mangiato una ciambella.,Ero goloso di dolci.,0,3.814912796020508,4.247338771820068,0.0
Spinsi la porta.,La porta si aprì.,La porta si chiuse.,0,5.34757661819458,5.448033809661865,0.0
Gli attivisti boicottarono i prodotti.,Il prodotto era stato testato per assicurarne la qualità.,Il prodotto era stato fabbricato attraverso il lavoro minorile.,1,3.689957618713379,3.7450833320617676,0.0
Avevo fatto un buco nel muro.,Un topo sgusciò fuori dal buco.,Si sollevò della polvere dal buco.,1,3.5532450675964355,4.104886054992676,0.0
La donna era invidiosa della sorella.,La sorella era felice.,La sorella si era divorziata.,0,4.468908786773682,4.3834547996521,1.0
Mi versai del vino sulla camicia.,Mi misi un grembiule.,Cambiai camicia.,1,5.0435309410095215,5.564394950866699,0.0
Il cassiere aprì la cassa.,Il cliente cercò nel suo portafogli.,Il cliente gli diede i propri soldi.,1,3.980175733566284,4.125576972961426,0.0
Il musicista di strada attirò una folla.,La gente gli diede degli spiccioli.,Lui mandò via la folla.,0,3.9455645084381104,4.119065761566162,0.0
Il ragazzino piagnucolò con la babysitter.,Gli mancavano i genitori.,Era l'ora della merenda.,0,3.9421610832214355,4.018378257751465,0.0
Il radar del pilota rilevò una tempesta.,Il pilota navigò lontano dalla tempesta.,Il pilota volò attraverso la tempesta.,0,3.829925060272217,3.7355008125305176,1.0
L'albero perse le foglie.,Le foglie cambiarono colore.,Le foglie si accumularono per terra.,1,4.152294635772705,4.211198329925537,0.0
Il ragazzo era in vena di dispetti.,Decise di giocare a carte con la sorella.,Decise di fare uno scherzo alla sorella.,1,4.120203971862793,4.056553363800049,1.0
Il bambino si lamentava che doveva andare in bagno.,Il padre gli diede una soda da bere.,Il padre si fermò alla stazione di servizio.,1,3.5756309032440186,3.5539681911468506,1.0
Il bambino sparse il mangime per pesci nell'acquario.,Il pesce balzò fuori dall'acquario.,Il pesce nuotò verso il mangime.,1,3.607808828353882,3.9350290298461914,0.0
Le opinioni politiche della donna erano mutate.,Cambiò il partito alla quale era affiliata.,Partecipò ad una protesta.,0,4.445649147033691,4.723392486572266,0.0
Il lavandino del bagno era intasato.,Aprii il rubinetto.,Ci versai dentro dell'acido muriatico.,1,4.318700790405273,4.2542195320129395,1.0
Il passeggero scese dal treno.,Il treno era arrivato alla stazione.,Il treno emise un fischio.,0,3.7721004486083984,3.78472900390625,0.0
L'uomo premette il lembo umido dell'involucro.,Mise un francobollo sull'involucro.,Sigillò e chiuse l'involucro.,1,3.9320647716522217,3.920266628265381,1.0
Gli amici persero i contatti.,Si godevano la reciproca compagnia.,Si spostarono in città diverse.,1,4.399526596069336,4.677675724029541,0.0
La contabile aveva malgestito i fondi della compagnia.,Fu licenziata dal suo ruolo.,Andò in maternità.,0,4.6087470054626465,4.961050987243652,0.0
Guardai l'orologio.,Avevo sentito l'orologio ticchettare.,Volevo controllare l'ora.,1,3.6511547565460205,4.089883804321289,0.0
Ebbi un crampo alla mano.,Avevo scritto il tema a mano.,Io e mia moglie ci tenevamo per mano.,0,4.905037879943848,4.422369480133057,1.0
Il bullone si strinse.,L'avevo sostituito.,Avevo girato la chiave inglese.,1,4.670446395874023,4.567201614379883,1.0
La coppia firmò il contratto d'affitto per un appartamento.,La coppia si trasferì nell'appartamento.,La città dichiarò inagibile l'appartamento.,0,3.2205350399017334,3.514984369277954,0.0
La donna si era seduta sulla veranda.,Voleva guardare il tramonto.,Pensò di aver visto un fulmine.,0,4.128615379333496,4.332797050476074,0.0
L'uomo indossava un giubbotto di salvataggio in acqua.,Non sapeva nuotare.,L'acqua era bassa.,0,3.446723222732544,3.6117067337036133,0.0
La donna fece un errore di battitura nel programma.,Cancellò il documento.,Premette sul tasto backspace.,1,4.475624084472656,4.600134372711182,0.0
La ragazza si era vantata con le amiche.,Aveva ricevuto un brutto voto.,Aveva vinto una gara.,1,3.966391086578369,3.970583438873291,0.0
Il prato era fangoso.,Era diluviato nella notte.,Era pieno d'erbacce.,0,4.72555685043335,4.191010475158691,1.0
La donna aveva dormito troppo.,Aveva passato la notte in albergo.,Aveva dimenticato di impostare la sveglia.,1,3.7968950271606445,3.606529951095581,1.0
L'uomo si era messo la protezione solare.,Si era seduto all'ombra.,Era andato in spiaggia.,1,4.027116298675537,4.0709309577941895,0.0
I ricercatori dimostrarono la teoria.,I ricercatori ritrattarono la teoria.,Le persone accettarono la teoria.,1,3.8616480827331543,4.129545211791992,0.0
I fan fischiarono durante la partita.,La partita aveva superato i limiti di tempo.,L'arbitro aveva preso una decisione sbagliata.,1,4.60660982131958,4.070303916931152,1.0
Avevo inserito la combinazione nel lucchetto.,Chiusi il lucchetto.,Il lucchetto si aprì di scatto.,1,4.158020496368408,4.096350193023682,1.0
La folla si infittì.,Il padre diede dei soldi al figlio.,Il padre prese il figlio per mano.,1,4.822694301605225,4.772497653961182,1.0
La neve stava bloccando il vialetto.,Feci una palla di neve.,Spalai via la neve.,1,4.124011993408203,4.2750420570373535,0.0
I canottieri pagaiarono con i loro remi.,La canoa raggiunse la costa.,La canoa colpì un'onda.,0,4.981331825256348,4.950019836425781,1.0
La ragazza perse il controllo della bicicletta.,Lasciò andare il manubrio.,Andò a sbattere contro un recinto.,1,3.706749200820923,3.703953981399536,1.0
Accesi il ventilatore.,Spruzzò acqua sulla mia pelle.,Sentii dell'aria fredda passarmi addosso.,1,4.731893539428711,4.3164544105529785,1.0
I surfisti ritornarono sulla spiaggia.,Erano fradici.,Avevano visto uno squalo.,1,4.598158836364746,4.264642715454102,1.0
Tirai via il tappo dalla vasca.,L'acqua della vasca si prosciugò.,L'acqua schizzò sul pavimento.,0,4.275572299957275,4.382182598114014,0.0
Il marito si sentì colpevole di aver tradito la moglie.,L'accuso di infedeltà.,Confessò di esserle stato infedele.,1,3.575971841812134,3.4166951179504395,1.0
L'inchiostro sul poster si sbavò.,Avevo aspettato che l'inchiostro asciugasse.,Avevo rovesciato dell'acqua sul poster.,1,3.7750887870788574,4.097498416900635,0.0
Il bambino si svegliò urlando.,Aveva avuto un incubo.,Aveva bagnato il letto.,0,3.686898946762085,3.8331329822540283,0.0
Il ragazzo mise i piedi sul tavolo.,I padre si sedette al tavolo.,Il padre lo sgridò.,1,3.929703950881958,4.092953205108643,0.0
Il mio amicò girò la testa verso di me.,Avevo gridato il suo nome.,Avevo agitato le braccia.,0,3.9694321155548096,3.8070194721221924,1.0
Il governo aveva oppresso i suoi cittadini.,I cittadini inscenarono una rivolta.,I cittadini si registrarono per votare.,0,3.940300941467285,4.073487281799316,0.0
Un ragazzo si era perso nel bosco.,Montò una tenda.,Urlò aiuto.,1,4.4672112464904785,4.5585150718688965,0.0
La donna aveva viaggiato all'estero.,Voleva imparare a disegnare.,Voleva conoscere altre culture.,1,3.9220974445343018,4.002418041229248,0.0
L'uomo era geloso dei suoi colleghi.,I suoi colleghi avevano avuto una promozione.,I suoi colleghi lavoravano fino a tardi.,0,3.776116371154785,3.8753600120544434,0.0
L'uomo aveva assistito agli alieni.,Aveva avuto delle allucinazioni.,Stava meditando.,0,4.02761697769165,4.600444793701172,0.0
I capelli dell'uomo divennero biondi.,Ci aveva messo della candeggina.,Ci aveva messo dello shampoo.,0,4.299866199493408,4.293784141540527,1.0
L'artista creò una nuova opera.,Aveva criticato la sua opera precedente.,Aveva avuto un impeto di ispirazione.,1,4.247463703155518,3.9596316814422607,1.0
Il figlio si trasferì lontano da casa.,Era stato congedato dal servizio militare.,Stava andando all'università.,1,4.184759616851807,4.066743850708008,1.0
Dei libri caddero dalla libreria.,Gli scaffali erano ricoperti da polvere.,Un terremoto aveva scosso la libreria.,1,4.03814697265625,4.03455114364624,1.0
L'elettricità nella casa saltò.,Accesi una luce.,Resettai il salvavita.,1,4.557066917419434,4.711137294769287,0.0
Facemmo un giro sulla montagne russe.,Sembrava spaventoso.,Sembrava divertente.,1,4.708943843841553,4.85264253616333,0.0
La busta di popcorn iniziò a scoppiettare.,Avevo versato del burro nella busta.,L'avevo riscaldata in microonde.,1,4.0893073081970215,4.05813455581665,1.0
Un albero è caduto sulla linea elettrica.,È andata via la luce in tutto il quartiere.,Le previsioni prevedevano dei venti forti.,0,3.909454822540283,4.007843971252441,0.0
L'oratore ha fatto dei commenti politicamente scorretti.,Ha annoiato il pubblico.,Ha offeso il pubblico.,1,4.141367435455322,4.139525413513184,1.0
Mi sono punto con la spilla.,La mia faccia si è imperlata di sudore.,Si è formata una goccia di sangue sul mio dito.,1,4.450160980224609,3.8987624645233154,1.0
Il pesce galleggiava sulla superficie della vasca.,Aveva fame.,Era morto.,1,4.639060020446777,4.683475971221924,0.0
L'uomo aveva la voce rauca.,Aveva un raffreddore.,Ha smesso di fumare.,0,4.022493362426758,4.148495197296143,0.0
Le porte dell'ascensore si sono aperte.,L'ascensore è arrivato al piano previsto.,L'ascensore si è bloccato tra due piani.,0,3.7303385734558105,3.5255067348480225,1.0
Il ragazzino è sgattaiolato via di casa.,Ha mentito ai suoi genitori.,I suoi genitori lo hanno messo in punizione.,1,4.190081596374512,3.7973792552948,1.0
Il bagno si è allagato.,Il gabinetto si è intasato.,Lo scaldabagno si è rotto.,0,4.01979923248291,4.032197952270508,0.0
Il cucciolo non si allontanava dal padrone.,Il padrone ha messo un collare al cucciolo.,Il padrone teneva il cucciolo al guinzaglio.,1,3.350130081176758,3.0485877990722656,1.0
L'uomo ha colto il suo riflesso.,Stava sotto un albero dai rami tentacolari.,Stava nei pressi di un lago calmo.,1,3.9677233695983887,4.073897838592529,0.0
Ho perso la telefonata della mia ragazza.,L'ho richiamata.,L'ho incontrata per cena.,0,3.85463285446167,3.762486696243286,1.0
La famiglia ha setacciato il quartiere.,Il loro cane era scappato di casa.,Dei gioielli costosi erano spariti da casa loro.,0,4.248151779174805,4.01584529876709,1.0
Quando espiravo vedevo il mio fiato.,Fuori faceva freddo.,Avevo delle fitte al petto.,0,4.385659694671631,4.280670166015625,1.0
Gli impiegati hanno costituito un sindacato.,Volevano delle condizioni lavorative migliori.,Il loro datore di lavoro ha aumentato il loro salario.,0,3.849327564239502,3.6741631031036377,1.0
Ho fatto una crostata di mele.,La cucina puzzava di marcio.,La cucina aveva un profumino accogliente.,1,4.428287506103516,4.121389389038086,1.0
La donna faticava a camminare.,Indossava dei tacchi alti.,Si era tolta le scarpe.,0,4.104060649871826,4.141294002532959,0.0
Del vapore si è sollevato dalla pentola piena d'acqua.,L'acqua bolliva.,Ho coperto la pentola.,0,3.8630869388580322,4.010708332061768,0.0
Tutti i miei calzini erano nel bucato da lavare.,Ho indossato dei sandali.,Ho indossato degli stivali.,0,4.121326923370361,3.9537272453308105,1.0
L'argomentazione del politico fu considerata assurda.,Perse l'appoggio degli elettori.,Fu accusato di corruzione.,0,3.899216890335083,4.190273284912109,0.0
Tutti erano contro il fidanzamento ufficiale della coppia.,La coppia era in dolce attesa.,La coppia si è sposata di nascosto.,1,3.9413647651672363,3.7450850009918213,1.0
Il palazzo è stato dedicato al milionario.,Il milionario voleva distruggere il palazzo.,Il milionario ha contribuito ai fondi per la sua costruzione.,1,3.777277946472168,3.8029356002807617,0.0
L'assistente alle vendite ha accusato di furto la ragazza.,L'assistente alle vendite ha visto la ragazza infilare della mercanzia dentro la sua borsetta.,L'assistente alle vendite ha aiutato la ragazza a trovare la borsetta che le piaceva.,0,2.900405168533325,2.793396234512329,1.0
La nazione ha dichiarato guerra al territorio vicino.,I soldati sono stati mandati in missione a combattere.,I soldati si sono riuniti con le proprie famiglie.,0,3.6262893676757812,3.5251855850219727,1.0
Il tribunale ha confermato la sentenza controversa.,È scattata una rivolta davanti al tribunale di giustizia.,Una coppia ha scambiato le promesse di matrimonio davanti al tribunale di giustizia.,0,3.5872585773468018,3.329052448272705,1.0
La ragazza sentiva odore di bruciato.,Ha preso dei biscotti dal barattolo.,Ha lasciato i biscotti nel forno.,1,4.20654296875,4.032843589782715,1.0
Pioveva a dirotto.,La tempesta è peggiorata.,Sono scappato dentro casa.,1,4.5953593254089355,4.862854957580566,0.0
Il palazzo è stato evacuato.,L'ascensore ha smesso di funzionare.,È scattato l'allarme antincendio.,1,3.5822594165802,3.6907238960266113,0.0
Il padre non sopportava l'alcolismo del figlio.,Il padre ha comprato una birra al figlio.,Il padre ha cacciato di casa il figlio.,1,3.8588016033172607,3.7300539016723633,1.0
L'avvocata ha fatto le scale per salire al suo ufficio.,La segretaria è tornata a casa dopo il lavoro.,L'ascensore era guasto.,1,3.5361015796661377,3.577138662338257,0.0
L'uomo era infastidito dal suo amico.,Il suo amico lo ha interrotto.,Il suo amico gli ha offerto il pranzo.,0,3.819164752960205,3.6912825107574463,1.0
La ragazza ha dato i soldi alla cassiera.,La cassiera ha dato il resto alla ragazza.,La cassiera si è dimenticata di dare lo scontrino alla ragazza.,0,3.1927897930145264,2.9612224102020264,1.0
La donna fu messa su una sedia a rotella.,Era rimasta paralizzata in un incidente.,È entrata in ospedale su di una barella.,0,4.083861351013184,3.965442657470703,1.0
I cittadini appesero la bandiera nazionale sulla facciata delle loro case.,Il paese stava commemorando la sua indipendenza.,Il paese stava affrontando una grave situazione economica.,0,3.7293004989624023,3.7449982166290283,0.0
La squadra ha perso il torneo.,Hanno deluso i loro fan.,Hanno ispirato i loro fan.,0,4.496891975402832,4.413557052612305,1.0
Il mio amico mi ha fatto notare che avevo del cibo incastrato fra i denti.,Mi sono sentito in imbarazzo.,Ero fiero di me stesso.,0,3.400620698928833,3.5481488704681396,0.0
Il ragazzo non ha passato l'esame di storia.,Ha prestato attenzione in classe.,Si è dimenticato di studiare.,1,3.888123035430908,3.7583694458007812,1.0
Il palazzo in centro città è crollato.,Un terremoto ha colpito la città.,La criminalità nella città è aumentata.,0,3.8729135990142822,4.323385238647461,0.0
La ragazza dell'uomo l'ha lasciato.,Lui l'ha implorata di tornare assieme.,Lei lo ha presentato ai suoi genitori.,0,3.865870475769043,4.007247447967529,0.0
I due bambini si abbassarono simultaneamente per prendere il pallone.,Il pallone è rotolato via.,Hanno battuto la testa uno contro l'altro.,1,3.732383966445923,3.533005952835083,1.0
Il procione ha rovistato il bidone della spazzatura.,C'era del cartone all'interno del bidone della spazzatura.,Il coperchio non copriva il bidone della spazzatura.,1,3.5351622104644775,3.61250901222229,0.0
Il ragazzo ha temperato la matita.,Costava poco.,Era poco appuntita.,1,5.087584018707275,5.111833572387695,0.0
La cassiera non ha concesso alla donna un rimborso per il vestito.,La donna ha perso lo scontrino.,Il vestito non le stava bene addosso.,0,3.9364545345306396,4.0012526512146,0.0
Il graffio sulla mia pelle era profondo.,È guarito velocemente.,Ha lasciato una cicatrice.,1,4.402021884918213,4.14775276184082,1.0
I passeggeri del treno guardarono strano l'uomo.,Stava fissando il pavimento.,Stava parlando da solo.,1,4.093628883361816,4.17271614074707,0.0
Il bambino ha lasciato delle briciole sul pavimento.,Le formiche si sono arrampicate verso le briciole.,Il bambino ha messo via il pane.,0,3.761171817779541,3.6579153537750244,1.0
La donna diede un fazzolleto a sua sorella.,La sorella della donna intrecciò le mani.,La sorella della donna cominciò a piangere.,1,4.171663284301758,4.000521659851074,1.0
L'uomo prese una mentina.,Le sue labbra erano screpolate.,Temeva di avere l'alito cattivo.,1,4.367652416229248,4.085588455200195,1.0
La coppia se ne andò presto alla volta dello spettacolo.,Avevano previsto del traffico attorno al teatro.,Avevano ottenuto le indicazioni per il teatro.,0,4.0347418785095215,4.045483112335205,0.0
La donna era rimasta a casa dal lavoro.,Il suo capo l'ha lodata.,La sua collega di lavoro l'ha coperta.,1,4.450117111206055,4.336220741271973,1.0
L'uomo ha firmato la petizione degli attivisti.,Sosteneva la loro causa.,Li ha denunciati come pazzi.,0,3.9869275093078613,3.88217830657959,1.0
All'uomo batteva forte il cuore prima della sua esibizione.,Aveva il panico da palcoscenico.,Aveva memorizzato le sue battute.,0,4.149301052093506,4.1747541427612305,0.0
Mi ero perso.,Ho contato i miei soldi.,Ho aperto una mappa.,1,4.953769207000732,5.164599418640137,0.0
La frutta matura rimase esposta al sole.,È stata mangiata.,Si è avvizzita.,1,4.422152042388916,4.4046149253845215,1.0
La macchina si è rotta.,L'ho messa in moto.,Il motore si è surriscaldato.,1,4.126461982727051,3.817657947540283,1.0
L'uomo si è fatto male alla schiena.,Ha visitato uno psichiatra.,È rimasto a letto per svariati giorni.,1,3.9464826583862305,3.568603038787842,1.0
Ho acceso un fuoco nel caminetto.,Non c'era più legna.,Faceva freddo nella casa.,1,4.623593807220459,4.653494358062744,0.0
La donna ha smesso di fare jogging.,Le è venuto un crampo al fianco.,Si è ripresa un po'.,0,3.9424824714660645,4.444279670715332,0.0
Ho bussato alla porta della mia vicina.,La mia vicina mi ha invitata dentro.,La mia vicina ha lasciato casa sua.,0,3.9083454608917236,4.175510883331299,0.0
La donna emise un sospiro di frustrazione.,Suo marito non ha compreso le sue preoccupazioni.,Suo marito le ha dato un bacio di addio.,0,3.4906699657440186,3.4989681243896484,0.0
La maestra ha elogiato lo studente.,Lo studente ha risposto correttamente.,Lo studente ha esitato nel rispondere alla domanda.,0,4.1176605224609375,3.959613561630249,1.0
La donna aveva finito le uova.,È andata alla fattoria.,È andata al supermercato.,1,4.4666948318481445,4.222326278686523,1.0
Ho incontrato un vecchio amico.,Gli ho svelato un segreto.,L'ho abbracciato.,1,4.040527820587158,3.9641504287719727,1.0
La donna evitò di entrare nel lago.,Ha pescato un pesce.,Sembrava inquinato.,1,4.272287845611572,4.321691513061523,0.0
Lo studente arrivò in classe completamente fradicio.,Il suo ombrello si era rotto.,La sua bici era stata rubata.,0,4.048155784606934,4.2394843101501465,0.0
Il cursore sullo schermo del computer si è mosso.,L'utente ha cliccato il mouse.,L'utente ha spostato il mouse.,1,3.718783378601074,3.7853786945343018,0.0
L'autista ha fatto una deviazione.,C'è stato un incidente sulla strada principale.,Ha seguito il furgone davanti a lei.,0,3.7676525115966797,4.210508823394775,0.0
Ho appeso la biancheria bagnata sullo stendino di fuori.,La biancheria si è asciugata.,La biancheria si è macchiata.,0,3.7251436710357666,3.840367078781128,0.0
La donna ha indossato gli occhiali da sole.,La luce del sole era abbagliante.,Ha fermato un taxi.,0,3.6123223304748535,3.98341703414917,0.0
L'uomo ammirò il cielo notturno.,Desiderava fosse estate.,Pensava che fosse stupendo.,1,4.4734978675842285,3.990400552749634,1.0
Mi sentivo esausto.,Sono andato a dormire presto.,Sono rimasto sveglio tutta la notte.,0,4.763869285583496,4.504108905792236,1.0
L'uomo è andato dal barbiere.,Si stava lasciando crescere i capelli.,I suoi capelli stavano diventando lunghi.,1,3.7287135124206543,3.6967217922210693,1.0
Il ragazzino faceva dei brutti scherzi al suo nuovo compagno di classe.,Il ragazzino ha dato il benvenuto al suo nuovo compagno di classe.,Al ragazzino non piaceva il nuovo compagno di classe.,1,2.9923746585845947,3.144098997116089,0.0
Bramavo un bicchiere di latte.,Stavo mangiando dei biscotti.,Stavo infornando del pane.,0,4.264450550079346,4.5944294929504395,0.0
È iniziato a piovere.,L'autista ha accesso i fari.,L'autista ha messo la macchina in retromarcia.,0,4.41455078125,3.639214515686035,1.0
Il parcheggio del palazzo era vuoto.,Ho parcheggiato dall'altro lato della strada.,Ho parcheggiato vicino all'entrata.,1,3.5552682876586914,3.7516627311706543,0.0
La scrittrice ha mancato la scadenza per inviare la bozza.,Aveva il blocco dello scrittore.,Ha corretto la bozza.,0,3.7320830821990967,3.8477652072906494,0.0
L'impiegato mi ha chiuso il telefono in faccia.,Ho chiesto di rivolgermi ad un superiore.,Gli ho fornito il mio numero identificativo.,0,3.5835421085357666,3.7904534339904785,0.0
Il vento soffiò attraverso la finestra aperta.,Il campanello squillò.,Le tende oscillarono.,1,3.5640928745269775,3.9052727222442627,0.0
C'è stata una interruzione di corrente elettrica a casa mia.,Ho scollegato una lampada.,Ho bruciato un fusibile.,1,3.918363094329834,3.8400073051452637,1.0
Il cuturista ha lanciato un gemito.,Ha flesso i muscoli allo specchio.,Ha sollevato la barra sopra la sua testa.,1,4.790001392364502,4.1376051902771,1.0
Lo studente ha provato a fare i calcoli a mente.,Ha estratto una calcolatrice.,Si è confuso.,1,4.256222248077393,4.412123203277588,0.0
Il bambino si è addormentato.,Il papà ha cambiato il pannolino del bambino.,Il padre ha cullato dolcemente il bambino.,1,3.2857062816619873,3.4878461360931396,0.0
La bambina ha tirato il gavettone al bambino.,Il ragazzo ha avuto una commozione cerebrale.,Il ragazzo si è inzuppato.,1,3.5234215259552,3.887763023376465,0.0
Il fotografo si è dimenticato di usare il flash.,Le foto sono uscite sfocate.,Tutte le persone nella foto si sono rifiutate di sorridere.,0,3.47696852684021,3.0865349769592285,1.0
Ho rifiutato l'invito alla festa di compleanno.,Ero solo.,Ero fuori città.,1,4.322124004364014,4.149423122406006,1.0
Ho fatto ginnastica.,Mi sentivo pieno di energie.,Ero spaventato.,0,4.410409450531006,4.622308254241943,0.0
Ho strizzato la spugna umida.,Ha assorbito dell'acqua.,È colata dell'acqua.,1,4.474266052246094,4.7597527503967285,0.0
I vacanzieri hanno raggiunto il villaggio turistico con un traghetto.,Il villaggio turistico era pieno.,Il villaggio turistico si trovava su di una isola.,1,3.7348792552948,3.603151321411133,1.0
La ragazzina si è fatta un tatuaggio.,Aveva paura degli aghi.,Voleva ribellarsi.,1,4.022995471954346,4.165655136108398,0.0
Una macchina ignota ha parcheggiato fuori casa mia.,Mi sono insospettita.,Ho chiamato la polizia.,0,3.945021152496338,3.796823024749756,1.0
Il criminale si è costituito.,Le prove lo hanno incriminato.,Non c'erano prove contro di lui.,0,4.353084564208984,3.946965217590332,1.0
Un uomo robusto ha deciso di perdere peso.,Ha escluso i dolci dalla dieta.,Ha evitato la caffeina.,0,3.9147555828094482,4.002105712890625,0.0
La ragazza ha calpesatato del ghiaccio.,È scivolata.,Ha rabbrividito.,0,4.8729729652404785,5.010610580444336,0.0
